Fecha,NFLX
1,127.49
2,129.41
3,131.81
4,131.07
5,130.95
6,129.89
7,130.50
8,129.18
9,133.70
10,132.89
11,133.26
12,138.41
13,138.60
14,137.39
15,140.11
16,139.52
17,138.96
18,142.45
19,141.22
20,140.71
21,140.78
22,139.20
23,140.25
24,140.97
25,144.00
26,144.74
27,144.14
28,144.82
29,143.20
30,140.82
31,142.27
32,142.01
33,142.22
34,142.60
35,143.86
36,142.78
37,143.25
38,143.41
39,142.13
40,142.65
41,139.53
42,139.14
43,141.94
44,141.43
45,140.32
46,140.53
47,140.89
48,143.52
49,143.19
50,145.25
51,144.39
52,145.11
53,145.83
54,142.42
55,142.65
56,141.84
57,142.02
58,144.06
59,145.17
60,146.47
61,148.06
62,147.81
63,146.92
64,145.50
65,143.62
66,143.74
67,143.11
68,143.85
69,144.35
70,143.83
71,142.92
72,147.25
73,143.36
74,139.76
75,141.18
76,142.87
77,143.83
78,152.16
79,150.17
80,153.08
81,152.20
82,155.35
83,156.45
84,155.59
85,157.25
86,156.60
87,156.38
88,157.46
89,160.28
90,158.54
91,160.81
92,160.02
93,159.41
94,153.20
95,155.70
96,157.02
97,157.16
98,157.95
99,157.75
100,163.05
101,162.43
102,163.22
103,163.07
104,162.99
105,165.18
106,165.06
107,165.17
108,165.61
109,165.88
110,158.03
111,151.44
112,152.72
113,152.20
114,151.76
115,152.38
116,153.40
117,152.05
118,155.03
119,154.89
120,158.02
121,157.50
122,151.03
123,153.41
124,150.09
125,149.41
126,146.17
127,147.61
128,146.25
129,150.18
130,152.67
131,154.33
132,158.75
133,158.21
134,161.12
135,161.70
136,183.60
137,183.86
138,183.60
139,188.54
140,187.91
141,186.97
142,189.08
143,182.68
144,184.04
145,181.66
146,182.03
147,180.74
148,179.23
149,180.27
150,181.33
151,178.36
152,175.78
153,169.14
154,171.40
155,171.00
156,168.50
157,169.98
158,166.09
159,166.54
160,166.76
161,169.34
162,169.06
163,168.13
164,165.95
165,167.12
166,168.81
167,174.69
168,174.71
169,174.74
170,174.52
171,179.25
172,179.00
173,176.42
174,181.74
175,185.15
176,183.64
177,182.63
178,182.35
179,184.62
180,185.68
181,185.51
182,188.78
183,187.35
184,178.55
185,179.38
186,181.97
187,180.70
188,181.35
189,177.01
190,179.19
191,184.45
192,194.39
193,198.02
194,196.87
195,195.08
196,194.95
197,195.86
198,199.49
199,202.68
200,199.48
201,195.54
202,195.13
203,194.16
204,192.47
205,196.02
206,193.77
207,195.21
208,199.54
209,198.37
210,196.43
211,198.00
212,199.32
213,200.01
214,200.13
215,195.89
216,196.44
217,193.90
218,192.02
219,195.08
220,195.71
221,192.12
222,195.51
223,193.20
224,194.10
225,196.23
226,196.32
227,195.75
228,195.05
229,199.18
230,188.15
231,187.58
232,186.82
233,184.04
234,184.21
235,185.30
236,185.20
237,188.54
238,186.22
239,185.73
240,187.86
241,189.56
242,190.12
243,190.42
244,187.02
245,188.82
246,188.62
247,189.94
248,187.76
249,186.24
250,192.71
251,191.96
252,201.07
253,205.05
254,205.63
255,209.99
256,212.05
257,209.31
258,212.52
259,217.24
260,221.23
261,221.53
262,217.50
263,220.33
264,220.46
265,227.58
266,250.29
267,261.30
268,269.70
269,274.60
270,284.59
271,278.80
272,270.30
273,265.07
274,267.43
275,254.26
276,265.72
277,264.56
278,250.10
279,249.47
280,257.95
281,258.27
282,266.00
283,280.27
284,278.52
285,278.55
286,281.04
287,278.14
288,285.93
289,294.16
290,290.61
291,291.38
292,290.39
293,301.05
294,315.00
295,325.22
296,321.16
297,317.00
298,331.44
299,321.30
300,315.88
301,321.55
302,321.09
303,318.45
304,313.48
305,317.50
306,316.48
307,306.70
308,300.94
309,320.35
310,300.69
311,285.77
312,295.35
313,280.29
314,283.67
315,288.94
316,293.97
317,288.85
318,289.93
319,298.07
320,303.67
321,309.25
322,311.65
323,307.78
324,336.06
325,334.52
326,332.70
327,327.77
328,318.69
329,307.02
330,305.76
331,313.98
332,311.76
333,312.46
334,313.30
335,313.36
336,311.69
337,320.09
338,326.26
339,326.89
340,330.30
341,329.60
342,326.46
343,328.53
344,326.13
345,328.19
346,325.22
347,324.18
348,331.82
349,331.62
350,344.72
351,349.29
352,351.29
353,349.73
354,353.54
355,351.60
356,359.93
357,361.81
358,365.80
359,367.45
360,361.40
361,360.57
362,361.45
363,363.83
364,379.93
365,392.87
366,391.98
367,390.40
368,404.98
369,416.76
370,415.44
371,411.09
372,384.48
373,399.39
374,390.39
375,395.42
376,391.43
377,398.18
378,390.52
379,398.39
380,408.25
381,418.97
382,415.63
383,418.65
384,413.50
385,395.80
386,400.48
387,379.48
388,375.13
389,364.23
390,361.05
391,362.66
392,357.32
393,362.87
394,363.09
395,355.21
396,334.96
397,337.45
398,338.38
399,344.50
400,343.09
401,350.92
402,351.83
403,347.61
404,349.36
405,345.87
406,341.31
407,337.49
408,326.40
409,322.44
410,316.78
411,327.73
412,338.02
413,344.44
414,339.17
415,358.82
416,364.58
417,368.49
418,368.04
419,370.98
420,367.68
421,363.60
422,341.18
423,346.46
424,348.68
425,348.41
426,355.93
427,369.95
428,368.15
429,364.56
430,350.35
431,367.65
432,366.96
433,365.36
434,361.19
435,369.61
436,369.43
437,377.88
438,380.71
439,374.13
440,381.43
441,377.14
442,377.05
443,363.65
444,351.35
445,349.10
446,355.71
447,325.89
448,321.10
449,339.56
450,333.13
451,346.40
452,364.70
453,346.71
454,332.67
455,329.54
456,333.16
457,301.83
458,312.87
459,299.83
460,284.84
461,285.81
462,301.78
463,317.38
464,309.10
465,315.44
466,310.84
467,327.50
468,317.92
469,303.47
470,294.07
471,294.40
472,286.73
473,290.06
474,286.21
475,270.60
476,266.98
477,262.13
478,258.82
479,261.43
480,266.63
481,282.65
482,288.75
483,286.13
484,290.30
485,275.33
486,282.88
487,265.14
488,269.70
489,265.32
490,274.88
491,276.02
492,266.84
493,262.80
494,270.94
495,266.77
496,260.58
497,246.39
498,233.88
499,253.67
500,255.57
501,256.08
502,267.66
503,267.66
504,271.20
505,297.57
506,315.34
507,320.27
508,319.96
509,324.66
510,337.59
511,332.94
512,354.64
513,351.39
514,353.19
515,339.10
516,325.16
517,321.99
518,326.67
519,338.05
520,335.66
521,328.90
522,340.66
523,339.50
524,339.85
525,351.34
526,355.81
527,352.19
528,344.71
529,347.57
530,345.73
531,359.97
532,351.77
533,359.07
534,356.87
535,361.92
536,359.91
537,356.97
538,363.02
539,363.91
540,364.97
541,362.87
542,358.10
543,357.32
544,351.04
545,354.30
546,359.61
547,352.60
548,349.60
549,358.86
550,356.27
551,361.21
552,358.82
553,361.46
554,363.44
555,358.78
556,375.22
557,377.87
558,361.01
559,366.23
560,359.97
561,353.37
562,354.61
563,356.56
564,366.96
565,367.72
566,369.75
567,367.88
568,365.49
569,361.41
570,364.71
571,363.92
572,367.65
573,351.14
574,348.87
575,359.46
576,354.74
577,360.35
578,377.34
579,381.89
580,374.23
581,368.33
582,374.85
